Day,VIX,Sentiment,VIX_lastday
21/1/2020,12.85,0.60 ,12.91 
22/1/2020,12.91,0.39 ,12.98 
23/1/2020,12.98,0.56 ,14.56 
24/1/2020,14.56,0.48 ,14.56 
25/1/2020,14.56,0.31 ,14.56 
26/1/2020,14.56,0.47 ,18.23 
27/1/2020,18.23,0.52 ,16.28 
28/1/2020,16.28,0.37 ,16.39 
29/1/2020,16.39,0.33 ,15.49 
30/1/2020,15.49,0.37 ,18.84 
31/1/2020,18.84,0.43 ,18.84 
1/2/2020,18.84,0.36 ,18.84 
2/2/2020,18.84,0.24 ,17.97 
3/2/2020,17.97,0.37 ,16.05 
4/2/2020,16.05,0.45 ,15.15 
5/2/2020,15.15,0.74 ,14.96 
6/2/2020,14.96,0.47 ,15.47 
7/2/2020,15.47,0.46 ,15.47 
8/2/2020,15.47,0.33 ,15.47 
9/2/2020,15.47,0.56 ,15.04 
10/2/2020,15.04,0.37 ,15.18 
11/2/2020,15.18,0.59 ,13.74 
12/2/2020,13.74,0.45 ,14.15 
13/2/2020,14.15,0.57 ,13.68 
14/2/2020,13.68,0.55 ,13.68 
15/2/2020,13.68,0.29 ,13.68 
16/2/2020,13.68,0.38 ,13.68 
17/2/2020,13.68,0.35 ,14.83 
18/2/2020,14.83,0.49 ,14.38 
19/2/2020,14.38,0.52 ,15.56 
20/2/2020,15.56,0.50 ,17.08 
21/2/2020,17.08,0.51 ,17.08 
22/2/2020,17.08,0.47 ,17.08 
23/2/2020,17.08,0.42 ,25.03 
24/2/2020,25.03,0.46 ,27.85 
25/2/2020,27.85,0.52 ,27.56 
26/2/2020,27.56,0.44 ,39.16 
27/2/2020,39.16,0.44 ,40.11 
28/2/2020,40.11,0.44 ,40.11 
29/2/2020,40.11,0.35 ,40.11 
1/3/2020,40.11,0.52 ,33.42 
2/3/2020,33.42,0.64 ,36.82 
3/3/2020,36.82,0.60 ,31.99 
4/3/2020,31.99,0.70 ,39.62 
5/3/2020,39.62,0.44 ,41.94 
6/3/2020,41.94,0.49 ,41.94 
7/3/2020,41.94,0.37 ,41.94 
8/3/2020,41.94,0.39 ,54.46 
9/3/2020,54.46,0.38 ,47.30 
10/3/2020,47.3,0.41 ,53.90 
11/3/2020,53.9,0.46 ,75.47 
12/3/2020,75.47,0.41 ,57.83 
13/3/2020,57.83,0.43 ,87.00 
14/3/2020,87,0.44 ,98.00 
15/3/2020,98,0.42 ,82.69 
16/3/2020,82.69,0.40 ,75.91 
17/3/2020,75.91,0.45 ,76.45 
18/3/2020,76.45,0.38 ,72.00 
19/3/2020,72,0.52 ,66.04 
20/3/2020,66.04,0.42 ,61.59 
23/3/2020,61.59,0.42 ,61.67 
24/3/2020,61.67,0.47 ,63.95 
25/3/2020,63.95,0.47 ,61.00 